Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Deaths,Population,Crude Rate
Males,White,Alabama,Both,All Ages,1999,2019,Firearm,9248,34502166,26.8
Males,Black,Alabama,Both,All Ages,1999,2019,Firearm,5437,12316162,44.15
Males,Am Indian/AK Native,Alabama,Both,All Ages,1999,2019,Firearm,27,346250,7.8
Males,Asian/Pac Islander,Alabama,Both,All Ages,1999,2019,Firearm,43,610313,7.05
Males,,Alabama,Both,All Ages,1999,2019,Firearm,14755,47774891,30.88
Females,White,Alabama,Both,All Ages,1999,2019,Firearm,2228,35742590,6.23
Females,Black,Alabama,Both,All Ages,1999,2019,Firearm,777,14134263,5.5
Females,Am Indian/AK Native,Alabama,Both,All Ages,1999,2019,Firearm,P,339431,.
Females,Asian/Pac Islander,Alabama,Both,All Ages,1999,2019,Firearm,12,668254,1.8
Females,,Alabama,Both,All Ages,1999,2019,Firearm,S,50884538,.
Males,White,Alaska,Both,All Ages,1999,2019,Firearm,1490,5469817,27.24
Males,Black,Alaska,Both,All Ages,1999,2019,Firearm,123,358460,34.31
Males,Am Indian/AK Native,Alaska,Both,All Ages,1999,2019,Firearm,666,1260254,52.85
Males,Asian/Pac Islander,Alaska,Both,All Ages,1999,2019,Firearm,69,489350,14.1
Males,,Alaska,Both,All Ages,1999,2019,Firearm,2348,7577881,30.98
Females,White,Alaska,Both,All Ages,1999,2019,Firearm,277,4918991,5.63
Females,Black,Alaska,Both,All Ages,1999,2019,Firearm,17,303684,5.6
Females,Am Indian/AK Native,Alaska,Both,All Ages,1999,2019,Firearm,151,1234142,12.24
Females,Asian/Pac Islander,Alaska,Both,All Ages,1999,2019,Firearm,22,531669,4.14
Females,,Alaska,Both,All Ages,1999,2019,Firearm,467,6988486,6.68
Males,White,Arizona,Both,All Ages,1999,2019,Firearm,15047,56071295,26.84
Males,Black,Arizona,Both,All Ages,1999,2019,Firearm,1049,3255553,32.22
Males,Am Indian/AK Native,Arizona,Both,All Ages,1999,2019,Firearm,751,3590313,20.92
Males,Asian/Pac Islander,Arizona,Both,All Ages,1999,2019,Firearm,147,2132471,6.89
Males,,Arizona,Both,All Ages,1999,2019,Firearm,16994,65049632,26.12
Females,White,Arizona,Both,All Ages,1999,2019,Firearm,2686,56608775,4.74
Females,Black,Arizona,Both,All Ages,1999,2019,Firearm,157,3017696,5.2
Females,Am Indian/AK Native,Arizona,Both,All Ages,1999,2019,Firearm,111,3694665,3
Females,Asian/Pac Islander,Arizona,Both,All Ages,1999,2019,Firearm,46,2346364,1.96
Females,,Arizona,Both,All Ages,1999,2019,Firearm,3000,65667500,4.57
Males,White,Arkansas,Both,All Ages,1999,2019,Firearm,6219,24166937,25.73
Males,Black,Arkansas,Both,All Ages,1999,2019,Firearm,1997,4587556,43.53
Males,Am Indian/AK Native,Arkansas,Both,All Ages,1999,2019,Firearm,16,285672,5.6
Males,Asian/Pac Islander,Arkansas,Both,All Ages,1999,2019,Firearm,45,455571,9.88
Males,,Arkansas,Both,All Ages,1999,2019,Firearm,8277,29495736,28.06
Females,White,Arkansas,Both,All Ages,1999,2019,Firearm,1295,24822786,5.22
Females,Black,Arkansas,Both,All Ages,1999,2019,Firearm,290,5066276,5.72
Females,Am Indian/AK Native,Arkansas,Both,All Ages,1999,2019,Firearm,P,287215,.
Females,Asian/Pac Islander,Arkansas,Both,All Ages,1999,2019,Firearm,P,485471,.
Females,,Arkansas,Both,All Ages,1999,2019,Firearm,1594,30661748,5.2
Males,White,California,Both,All Ages,1999,2019,Firearm,44209,296652159,14.9
Males,Black,California,Both,All Ages,1999,2019,Firearm,11146,27874599,39.99
Males,Am Indian/AK Native,California,Both,All Ages,1999,2019,Firearm,465,6970848,6.67
Males,Asian/Pac Islander,California,Both,All Ages,1999,2019,Firearm,2828,54181913,5.22
Males,,California,Both,All Ages,1999,2019,Firearm,58648,385679519,15.21
Females,White,California,Both,All Ages,1999,2019,Firearm,6003,295110172,2.03
Females,Black,California,Both,All Ages,1999,2019,Firearm,1080,28602811,3.78
Females,Am Indian/AK Native,California,Both,All Ages,1999,2019,Firearm,76,6853932,1.11
Females,Asian/Pac Islander,California,Both,All Ages,1999,2019,Firearm,521,59212512,0.88
Females,,California,Both,All Ages,1999,2019,Firearm,7680,389779427,1.97
Males,White,Colorado,Both,All Ages,1999,2019,Firearm,9861,47319999,20.84
Males,Black,Colorado,Both,All Ages,1999,2019,Firearm,717,2665993,26.89
Males,Am Indian/AK Native,Colorado,Both,All Ages,1999,2019,Firearm,135,903921,14.93
Males,Asian/Pac Islander,Colorado,Both,All Ages,1999,2019,Firearm,120,1661156,7.22
Males,,Colorado,Both,All Ages,1999,2019,Firearm,10833,52551069,20.61
Females,White,Colorado,Both,All Ages,1999,2019,Firearm,1732,46855574,3.7
Females,Black,Colorado,Both,All Ages,1999,2019,Firearm,95,2420616,3.92
Females,Am Indian/AK Native,Colorado,Both,All Ages,1999,2019,Firearm,30,882075,3.4
Females,Asian/Pac Islander,Colorado,Both,All Ages,1999,2019,Firearm,28,1896370,1.48
Females,,Colorado,Both,All Ages,1999,2019,Firearm,1885,52054635,3.62
Males,White,Connecticut,Both,All Ages,1999,2019,Firearm,2483,30329556,8.19
Males,Black,Connecticut,Both,All Ages,1999,2019,Firearm,937,4075024,22.99
Males,Am Indian/AK Native,Connecticut,Both,All Ages,1999,2019,Firearm,P,198726,.
Males,Asian/Pac Islander,Connecticut,Both,All Ages,1999,2019,Firearm,25,1470730,1.7
Males,,Connecticut,Both,All Ages,1999,2019,Firearm,S,36074036,.
Females,White,Connecticut,Both,All Ages,1999,2019,Firearm,308,31877799,0.97
Females,Black,Connecticut,Both,All Ages,1999,2019,Firearm,80,4462050,1.79
Females,Am Indian/AK Native,Connecticut,Both,All Ages,1999,2019,Firearm,P,194137,.
Females,Asian/Pac Islander,Connecticut,Both,All Ages,1999,2019,Firearm,P,1542888,.
Females,,Connecticut,Both,All Ages,1999,2019,Firearm,393,38076874,1.03
Males,White,Delaware,Both,All Ages,1999,2019,Firearm,945,6642499,14.23
Males,Black,Delaware,Both,All Ages,1999,2019,Firearm,619,1962695,31.54
Males,Am Indian/AK Native,Delaware,Both,All Ages,1999,2019,Firearm,P,59345,.
Males,Asian/Pac Islander,Delaware,Both,All Ages,1999,2019,Firearm,14,311976,4.49
Males,,Delaware,Both,All Ages,1999,2019,Firearm,S,8976515,.
Females,White,Delaware,Both,All Ages,1999,2019,Firearm,172,6971502,2.47
Females,Black,Delaware,Both,All Ages,1999,2019,Firearm,56,2188827,2.56
Females,Am Indian/AK Native,Delaware,Both,All Ages,1999,2019,Firearm,P,59270,.
Females,Asian/Pac Islander,Delaware,Both,All Ages,1999,2019,Firearm,P,330524,.
Females,,Delaware,Both,All Ages,1999,2019,Firearm,229,9550123,2.4
Males,White,District of Columbia,Both,All Ages,1999,2019,Firearm,133,2676918,4.97
Males,Black,District of Columbia,Both,All Ages,1999,2019,Firearm,2330,3180176,73.27
Males,Am Indian/AK Native,District of Columbia,Both,All Ages,1999,2019,Firearm,P,39867,.
Males,Asian/Pac Islander,District of Columbia,Both,All Ages,1999,2019,Firearm,12,223881,5.36
Males,,District of Columbia,Both,All Ages,1999,2019,Firearm,S,6120842,.
Females,White,District of Columbia,Both,All Ages,1999,2019,Firearm,16,2666775,0.6
Females,Black,District of Columbia,Both,All Ages,1999,2019,Firearm,173,3822784,4.53
Females,Am Indian/AK Native,District of Columbia,Both,All Ages,1999,2019,Firearm,P,39953,.
Females,Asian/Pac Islander,District of Columbia,Both,All Ages,1999,2019,Firearm,P,293009,.
Females,,District of Columbia,Both,All Ages,1999,2019,Firearm,190,6822521,2.78
Males,White,Florida,Both,All Ages,1999,2019,Firearm,29726,153843549,19.32
Males,Black,Florida,Both,All Ages,1999,2019,Firearm,9899,31582671,31.34
Males,Am Indian/AK Native,Florida,Both,All Ages,1999,2019,Firearm,49,1036392,4.73
Males,Asian/Pac Islander,Florida,Both,All Ages,1999,2019,Firearm,302,5086958,5.94
Males,,Florida,Both,All Ages,1999,2019,Firearm,39976,191549570,20.87
Females,White,Florida,Both,All Ages,1999,2019,Firearm,6260,159592854,3.92
Females,Black,Florida,Both,All Ages,1999,2019,Firearm,1207,33964586,3.55
Females,Am Indian/AK Native,Florida,Both,All Ages,1999,2019,Firearm,P,957852,.
Females,Asian/Pac Islander,Florida,Both,All Ages,1999,2019,Firearm,76,5819704,1.31
Females,,Florida,Both,All Ages,1999,2019,Firearm,S,200334996,.
Males,White,Georgia,Both,All Ages,1999,2019,Firearm,13462,63781796,21.11
Males,Black,Georgia,Both,All Ages,1999,2019,Firearm,8652,29277550,29.55
Males,Am Indian/AK Native,Georgia,Both,All Ages,1999,2019,Firearm,34,513982,6.62
Males,Asian/Pac Islander,Georgia,Both,All Ages,1999,2019,Firearm,305,3472811,8.78
Males,,Georgia,Both,All Ages,1999,2019,Firearm,22453,97046139,23.14
Females,White,Georgia,Both,All Ages,1999,2019,Firearm,3192,64317987,4.96
Females,Black,Georgia,Both,All Ages,1999,2019,Firearm,1259,33070869,3.81
Females,Am Indian/AK Native,Georgia,Both,All Ages,1999,2019,Firearm,P,466650,.
Females,Asian/Pac Islander,Georgia,Both,All Ages,1999,2019,Firearm,67,3660693,1.83
Females,,Georgia,Both,All Ages,1999,2019,Firearm,S,101516199,.
Males,White,Hawaii,Both,All Ages,1999,2019,Firearm,374,4537334,8.24
Males,Black,Hawaii,Both,All Ages,1999,2019,Firearm,21,448367,4.68
Males,Am Indian/AK Native,Hawaii,Both,All Ages,1999,2019,Firearm,P,65248,.
Males,Asian/Pac Islander,Hawaii,Both,All Ages,1999,2019,Firearm,421,9030068,4.66
Males,,Hawaii,Both,All Ages,1999,2019,Firearm,S,14081017,.
Females,White,Hawaii,Both,All Ages,1999,2019,Firearm,56,3963950,1.41
Females,Black,Hawaii,Both,All Ages,1999,2019,Firearm,P,315861,.
Females,Am Indian/AK Native,Hawaii,Both,All Ages,1999,2019,Firearm,P,56890,.
Females,Asian/Pac Islander,Hawaii,Both,All Ages,1999,2019,Firearm,65,9659100,0.67
Females,,Hawaii,Both,All Ages,1999,2019,Firearm,123,13995801,0.88
Males,White,Idaho,Both,All Ages,1999,2019,Firearm,3540,15353805,23.06
Males,Black,Idaho,Both,All Ages,1999,2019,Firearm,18,173110,10.4
Males,Am Indian/AK Native,Idaho,Both,All Ages,1999,2019,Firearm,66,297708,22.17
Males,Asian/Pac Islander,Idaho,Both,All Ages,1999,2019,Firearm,16,242864,6.59
Males,,Idaho,Both,All Ages,1999,2019,Firearm,3640,16067487,22.65
Females,White,Idaho,Both,All Ages,1999,2019,Firearm,580,15277352,3.8
Females,Black,Idaho,Both,All Ages,1999,2019,Firearm,P,136535,.
Females,Am Indian/AK Native,Idaho,Both,All Ages,1999,2019,Firearm,18,295979,6.08
Females,Asian/Pac Islander,Idaho,Both,All Ages,1999,2019,Firearm,P,282050,.
Females,,Idaho,Both,All Ages,1999,2019,Firearm,605,15991916,3.78
Males,White,Illinois,Both,All Ages,1999,2019,Firearm,11485,104370512,11
Males,Black,Illinois,Both,All Ages,1999,2019,Firearm,10796,19252409,56.08
Males,Am Indian/AK Native,Illinois,Both,All Ages,1999,2019,Firearm,16,781049,2.05
Males,Asian/Pac Islander,Illinois,Both,All Ages,1999,2019,Firearm,114,6410586,1.78
Males,,Illinois,Both,All Ages,1999,2019,Firearm,22411,130814556,17.13
Females,White,Illinois,Both,All Ages,1999,2019,Firearm,1575,106579563,1.48
Females,Black,Illinois,Both,All Ages,1999,2019,Firearm,895,21716215,4.12
Females,Am Indian/AK Native,Illinois,Both,All Ages,1999,2019,Firearm,P,751293,.
Females,Asian/Pac Islander,Illinois,Both,All Ages,1999,2019,Firearm,20,6802922,0.29
Females,,Illinois,Both,All Ages,1999,2019,Firearm,S,135849993,.
Males,White,Indiana,Both,All Ages,1999,2019,Firearm,10181,58419213,17.43
Males,Black,Indiana,Both,All Ages,1999,2019,Firearm,3724,6352970,58.62
Males,Am Indian/AK Native,Indiana,Both,All Ages,1999,2019,Firearm,12,285456,4.2
