"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","1999","432","1570643","27.5"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2000","395","1576042","25.06"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2001","403","1580087","25.5"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2002","386","1583267","24.38"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2003","406","1590946","25.52"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2004","360","1598272","22.52"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2005","363","1610721","22.54"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2006","402","1629110","24.68"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2007","405","1643115","24.65"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2008","412","1656414","24.87"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2009","462","1669087","27.68"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2010","437","1674262","26.1"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2011","416","1677215","24.8"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2012","447","1678096","26.64"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2013","475","1678767","28.29"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2014","436","1679272","25.96"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2015","501","1678776","29.84"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2016","523","1679387","31.14"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2017","552","1680222","32.85"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2018","519","1682439","30.85"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","2019","516","1686026","30.6"
"Males","White","Alabama","Both","All Ages","1999","2019","Firearm","","9248","34502166","26.8"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","1999","199","539198","36.91"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2000","233","543152","42.9"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2001","205","546578","37.51"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2002","223","549217","40.6"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2003","226","553307","40.85"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2004","197","557319","35.35"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2005","251","563308","44.56"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2006","254","572880","44.34"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2007","260","579036","44.9"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2008","268","586075","45.73"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2009","215","592661","36.28"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2010","212","596674","35.53"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2011","224","600771","37.29"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2012","249","605764","41.11"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2013","244","610885","39.94"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2014","240","614057","39.08"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2015","283","617809","45.81"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2016","338","619868","54.53"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2017","382","621031","61.51"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2018","365","622427","58.64"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","2019","369","624145","59.12"
"Males","Black","Alabama","Both","All Ages","1999","2019","Firearm","","5437","12316162","44.15"
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","1999","P","11256","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2000","P","12461","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2001","P","13077","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2002","P","13626","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2003","P","14202","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2004","P","14633","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2005","P","15166","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2006","P","15778","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2007","P","16285","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2008","P","17005","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2009","P","17698","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2010","P","18294","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2011","P","18159","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2012","P","18189","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2013","P","18116","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2014","P","18260","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2015","P","18416","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2016","P","18605","."
"Males","Am Indian/AK Native","Alabama","Both","All Ages","1999","2019","Firearm","2017","P","18737","."
